node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status
NO3_2,NO3_2 ror,ror,262.09454595900115,0,0,0.46,inflow_NO3,0,1,const,const,0.6,0,0,0,,,,created
NO3_2,NO2 0 hydro,hydro,608.4088060194947,0,0,0.46,inflow_NO3,1587594.029722323,10,hydro,const,0.6,0,0,5,,,,updated
NO3_3,NO2 7 hydro,hydro,910.7849372258029,0,0,0.46,inflow_NO3,2376620.3158051823,10,hydro,const,0.6,0,0,5,,,,updated
NO3_3,NO2 7 solar,solar,11.50988071,0,0.01,1,solar_NO3,0,1,const,const,0.6,0,0,0,,,,updated
NO3_3,NO3_3 ror,ror,392.35422338848485,0,0,0.46,inflow_NO3,0,1,const,const,0.6,0,0,0,,,,created
NO3_3,NO3_3 biomass,biomass,19.094572204906264,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO3_3,NO2 7 onwind,wind_on,554.5273023890586,0,0.015,1,windon_NO3,0,1,const,const,0.6,0,0,0,,,,updated
NO3_4,NO3_4 biomass,biomass,17.404134447544997,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO3_4,NO3_4 ror,ror,357.619201,0,0,0.46,inflow_NO3,0,1,const,const,0.6,0,0,0,,,,created
NO3_4,NO2 15 hydro,hydro,830.1533718678312,0,0,0.46,inflow_NO3,2166218.706717724,10,hydro,const,0.6,0,0,5,,,,updated
NO3_4,NO2 15 solar,solar,10.75766302,0,0.01,1,solar_NO3,0,1,const,const,0.6,0,0,0,,,,updated
NO3_4,NO2 15 onwind,wind_on,505.4351373807588,0,0.015,1,windon_NO3,0,1,const,const,0.6,0,0,0,,,,updated
NO3_5,NO3_5 biomass,biomass,6.812890004274507,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO3_5,NO3_5 ror,ror,139.99089049879126,0,0,0.46,inflow_NO3,0,1,const,const,0.6,0,0,0,,,,created
NO3_5,NO2 18 hydro,hydro,324.96552047786076,0,0,0.46,inflow_NO3,847971.4873813449,10,hydro,const,0.6,0,0,5,,,,updated
NO3_5,NO2 18 solar,solar,15.94034362,0,0.01,1,solar_NO3,0,1,const,const,0.6,0,0,0,,,,updated
NO3_5,NO2 18 onwind,wind_on,197.8537919049583,0,0.015,1,windon_NO3,0,1,const,const,0.6,0,0,0,,,,updated
